instance,rank,load
setA-01,1,0.929383900
setA-01,2,0.729592816
setA-01,3,0.611936062
setA-01,4,0.588166209
setA-01,5,0.554974599
setA-01,6,0.551952874
setA-01,7,0.491583056
setA-01,8,0.469690769
setA-01,9,0.463052534
setA-01,10,0.462986842
setA-01,11,0.453778495
setA-01,12,0.450331034
setA-01,13,0.418448014
setA-01,14,0.407251676
setA-01,15,0.403629352
setA-01,16,0.391841576
setA-01,17,0.374607216
setA-01,18,0.350181722
setA-01,19,0.349999271
setA-01,20,0.349999271
setA-01,21,0.349542100
setA-01,22,0.330995309
setA-01,23,0.325580131
setA-01,24,0.322752034
setA-01,25,0.302389267
setA-01,26,0.298948233
setA-01,27,0.284255800
setA-01,28,0.281212240
setA-01,29,0.273597306
setA-01,30,0.267697200
setA-01,31,0.257887107
setA-01,32,0.225721399
setA-01,33,0.210085813
setA-01,34,0.183670307
setA-01,35,0.177915892
setA-01,36,0.176970686
setA-01,37,0.176155194
setA-01,38,0.163017184
setA-01,39,0.161518064
setA-01,40,0.154048694
setA-01,41,0.142503272
setA-01,42,0.136540180
setA-01,43,0.129855894
setA-01,44,0.120055947
setA-01,45,0.112023824
setA-01,46,0.110251859
setA-01,47,0.103033186
setA-01,48,0.101855496
setA-01,49,0.095288986
setA-01,50,0.092224212
setA-01,51,0.078554028
setA-01,52,0.076225779
setA-01,53,0.052593280
setA-01,54,0.050111474
setA-01,55,0.014008968
setA-01,56,0.000000000
setA-01,57,0.000000000
setA-01,58,0.000000000
setA-01,59,0.000000000
setA-01,60,0.000000000
setA-01,61,0.000000000
setA-01,62,0.000000000
setA-01,63,0.000000000
setA-01,64,0.000000000
setA-01,65,0.000000000
setA-01,66,0.000000000
setA-01,67,0.000000000
setA-01,68,0.000000000
setA-01,69,0.000000000
setA-01,70,0.000000000
setA-01,71,0.000000000
setA-01,72,0.000000000
setA-01,73,0.000000000
setA-01,74,0.000000000
setA-01,75,0.000000000
setA-01,76,0.000000000
setA-01,77,0.000000000
setA-01,78,0.000000000
setA-01,79,0.000000000
setA-01,80,0.000000000
