instance,node_id,search_depth,context,pressure_score,subtree_survived,best_descendant_objective,became_champion
1,11,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.1284,true
1,12,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.0745,true
1,13,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.1953,false
1,10,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,17.0745,true
1,15,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.2205,false
1,16,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.1666,false
1,17,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.2874,false
1,14,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,17.1666,false
1,19,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.3020,false
1,20,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.2480,false
1,21,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.3688,false
1,18,10,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.2480,false
1,9,9,Vol:Low|Len:Short|Core:Deep|Cong:None,0.0000,true,17.0745,true
1,24,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.6389,false
1,25,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.5850,false
1,26,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,19.7058,false
1,23,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,19.5850,false
1,28,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.7310,false
1,29,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.6770,false
1,30,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,19.7979,false
1,27,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,19.6770,false
1,32,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.8124,false
1,33,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.7585,false
1,34,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,19.8793,false
1,31,10,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,19.7585,false
1,22,9,Vol:Low|Len:Short|Core:Deep|Cong:None,0.0000,true,19.5850,false
1,37,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,13.8856,true
1,38,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,13.8317,true
1,39,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,13.9525,false
1,36,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,13.8317,true
1,41,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,13.9777,false
1,42,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,13.9237,false
1,43,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,14.0446,false
1,40,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,13.9237,false
1,45,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,14.0591,false
1,46,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,14.0052,false
1,47,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,14.1260,false
1,44,10,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,14.0052,false
1,35,9,Vol:Low|Len:Short|Core:Deep|Cong:None,0.0000,true,13.8317,true
1,8,8,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,13.8317,true
1,51,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.4958,false
1,52,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.4419,false
1,53,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.5627,false
1,50,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,17.4419,false
1,55,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.5878,false
1,56,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.5339,false
1,57,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.6547,false
1,54,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,17.5339,false
1,59,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.6182,false
1,60,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.5643,false
1,61,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.6851,false
1,58,10,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.5643,false
1,49,9,Vol:Low|Len:Short|Core:Deep|Cong:None,0.0000,true,17.4419,false
1,64,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,20.0062,false
1,65,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.9523,false
1,66,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,20.0731,false
1,63,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,19.9523,false
1,68,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,20.0983,false
1,69,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,20.0444,false
1,70,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,20.1652,false
1,67,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,20.0444,false
1,72,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,20.1287,false
1,73,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,20.0747,false
1,74,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,20.1955,false
1,71,10,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,20.0747,false
1,62,9,Vol:Low|Len:Short|Core:Deep|Cong:None,0.0000,true,19.9523,false
1,77,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,14.2529,false
1,78,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,14.1990,false
1,79,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,14.3198,false
1,76,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,14.1990,false
1,81,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,14.3450,false
1,82,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,14.2911,false
1,83,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,14.4119,false
1,80,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,14.2911,false
1,85,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,14.3754,false
1,86,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,14.3214,false
1,87,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,14.4422,false
1,84,10,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,14.3214,false
1,75,9,Vol:Low|Len:Short|Core:Deep|Cong:None,0.0000,true,14.1990,false
1,48,8,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,14.1990,false
1,91,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.3584,false
1,92,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.3044,false
1,93,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.4170,false
1,90,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,17.3044,false
1,95,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.4504,false
1,96,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.3965,false
1,97,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.5091,false
1,94,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,17.3965,false
1,99,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.4929,false
1,100,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,17.4390,false
1,101,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.5516,false
1,98,10,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,17.4390,false
1,89,9,Vol:Low|Len:Short|Core:Deep|Cong:None,0.0000,true,17.3044,false
1,104,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.8688,false
1,105,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.8149,false
1,106,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,19.9275,false
1,103,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,19.8149,false
1,108,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.9609,false
1,109,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.9070,false
1,110,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,20.0195,false
1,107,10,Vol:Tiny|Len:Short|Core:Deep|Cong:None,0.0000,true,19.9070,false
1,112,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,20.0034,false
1,113,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,19.9495,false
1,114,11,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,20.0621,false
1,111,10,Vol:Tiny|Len:Med|Core:Deep|Cong:None,0.0000,true,19.9495,false
1,102,9,Vol:Low|Len:Short|Core:Deep|Cong:None,0.0000,true,19.8149,false
1,117,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,14.1155,false
1,118,11,Vol:Tiny|Len:Short|Core:Yes|Cong:None,0.0000,true,14.0616,false
